Entity.ID,Entity.Name,SP_COUNTRY_NAME,SNL_INDUSTRY,Region
4049398,Alliance National Bank,USA,Bank,New Jersey
4092534,"Allied Bancshares, Inc.",USA,Bank,Texas
100127,"Allied Bankshares, Inc. (NASDAQGM:ABGA)",USA,Bank,Georgia
1017443,Alpine Banks of Colorado (OTCQX:ALPI.B),USA,Bank,Colorado
4048950,Altabancorp,USA,Bank,Utah
4262644,AltaPacific Bancorp (OTCPK:ABNK),USA,Bank,California
4109194,AltaPacific Bank,USA,Bank,California
1020188,"Altrust Financial Services, Inc.",USA,Bank,Alabama
1012086,Amalgamated Financial Corp. (NASDAQGM:AMAL),USA,Bank,New York
102401,AMB Financial Corp. (OTCPK:AMFC),USA,Bank,Pennsylvania
100527,AMBANC Corp. (NASDAQGM:AMBK),USA,Bank,New York
1023023,Ambassador Bank of the Commonwealth (NASDAQGM:ABPA),USA,Bank,Pennsylvania
1016875,Amboy Bancorporation,USA,Bank,New Jersey
100130,"AMCORE Financial, Inc. (OTCPK:AMFI.Q)",USA,Bank,Illinois
1025190,Amegy Corporation,USA,Bank,Texas
1020142,Amerant Bancorp Inc. (NYSE:AMTB),USA,Bank,Florida
101668,Ameriana Bancorp,USA,Bank,Indiana
100022,"Ameribanc, Inc.",USA,Bank,Virginia
1011891,America California Bank,USA,Bank,California
100126,American Bancorp of Nevada (NASDAQGM:ABCN),USA,Bank,Nevada
1018239,"American Bancorp, Inc.",USA,Bank,Ohio
100129,American Bancorporation (NASDAQGM:AMBC),USA,Bank,Alabama
101220,"American Bancshares, Inc. (NASDAQGM:ABAN)",USA,Bank,Florida
4073262,American Bank Incorporated (OTCPK:AMBK),USA,Bank,Pennsylvania
1018018,"American Banks of Florida, Inc.",USA,Bank,Florida
1983015,American Business Bank (OTCQX:AMBZ),USA,Bank,California
4093100,"American Community Bancorp, Inc.",USA,Bank,Indiana
4054483,"American Community Bancshares, Inc.",USA,Bank,North Carolina
1982047,American Community Bank of Georgia,USA,Bank,Georgia
1013411,"American Independent Bank, N.A.",USA,Bank,California
1011667,American International Bank,USA,Bank,California
100626,American National Bankshares Inc.,USA,Bank,Virginia
100567,American Pacific Bank (NASDAQGM:AMPB),USA,Bank,Oregon
1012080,American Pacific State Bank,USA,Bank,California
4090938,"American Patriot Financial Group, Inc.",USA,Bank,Tennessee
4153406,American Perspective Bank,USA,Bank,California
1024658,American River Bankshares,USA,Bank,California
4143016,American Riviera Bancorp (OTCQX:ARBV),USA,Bank,California
1022827,American Security Bank,USA,Bank,California
1013701,American West Bank,USA,Bank,Washington
100865,AmericanWest Bancorporation,USA,Bank,Washington
4120249,Americas United Bank,USA,Bank,California
113556,AmericasBank Corp.,USA,Bank,Maryland
1021815,Americorp (NASDAQGM:AICA),USA,Bank,California
4161782,"Americus Financial Services, Inc.",USA,Bank,Georgia
100594,Ameris Bancorp (NYSE:ABCB),USA,Bank,Georgia
100467,"AmeriServ Financial, Inc. (NASDAQGM:ASRV)",USA,Bank,Pennsylvania
100024,Ameritrust Corporation (NASDAQGM:AMTR),USA,Bank,Ohio
1021094,Ames National Corporation (NASDAQCM:ATLO),USA,Bank,Iowa
100137,AmSouth Bancorporation,USA,Bank,Alabama
100132,ANB Corporation (NASDAQGM:ANBC),USA,Bank,Indiana
100628,Anchor Financial Corporation (NASDAQGM:AFSC),USA,Bank,South Carolina
1024973,Anderson Bank Company,USA,Bank,Indiana
1017897,"Andover Bancorp, Inc. (OTCPK:ANDC)",USA,Bank,Delaware
1022858,"Annapolis Bancorp, Inc.",USA,Bank,Maryland
100629,"Annapolis Bancshares, Inc.",USA,Bank,Maryland
100634,Antelope Valley Bank,USA,Bank,California
1020365,"Apollo Bancorp, Inc. (OTCPK:APLO)",USA,Bank,Texas
4110416,Aquesta Bank,USA,Bank,North Carolina
4430408,"Aquesta Financial Holdings, Inc.",USA,Bank,North Carolina
101226,AREA Bancshares Corporation (NASDAQGM:AREA),USA,Bank,Kentucky
100549,Argent Bank (NYSEAM:AGB),USA,Bank,Louisiana
4089949,"Arizona Bancorp, Ltd.",USA,Bank,Arizona
1011153,Arizona Bank,USA,Bank,Arizona
100103,Arizona Commerce Bank,USA,Bank,Arizona
100134,Arrow Financial Corporation (NASDAQGS:AROW),USA,Bank,New York
1024007,Asian American Bank & Trust Company,USA,Bank,Massachusetts
100136,"Aspen Bancshares, Inc. (NASDAQGM:ASBK)",USA,Bank,Colorado
100135,Associated Banc-Corp (NYSE:ASB),USA,Bank,Wisconsin
4241989,Athens Bancshares Corporation (OTCPK:AFCB),USA,Bank,Tennessee
4048906,"Atlantic BancGroup, Inc.",USA,Bank,Alabama
4104380,"Atlantic Bancshares, Inc.",USA,Bank,South Carolina
4155740,"Atlantic Capital Bancshares, Inc.",USA,Bank,Georgia
4086903,Atlantic Coast Financial Corporation (NASDAQGM:ACFC),USA,Bank,Florida
1024220,"Atlantic Community Bancorp, Inc.",USA,Bank,Pennsylvania
101181,Atlantic Financial Corp. (NASDAQGM:AFIC),USA,Bank,Pennsylvania
4065720,Atlantic Southern Bank,USA,Bank,Georgia
4093166,"Atlantic Southern Financial Group, Inc.",USA,Bank,Georgia
100575,Atlantic Union Bankshares Corporation (NYSE:AUB),USA,Bank,Virginia
100877,"Auburn National Bancorporation, Inc. (NASDAQGM:AUBN)",USA,Bank,Alabama
4161758,"Avenue Financial Holdings, Inc. (NASDAQGM:AVNU)",USA,Bank,Tennessee
4090309,Avidbank,USA,Bank,California
4210632,"Avidbank Holdings, Inc. (NASDAQGS:AVBH)",USA,Bank,California
100152,B.M.J. Financial Corp. (NASDAQGM:BMJF),USA,Bank,New Jersey
4090224,"Bainbridge Bancshares, Inc.",USA,Bank,Georgia
1020594,Baker Boyer Bancorp (OTCPK:BBBK),USA,Bank,Washington
1016860,"Ballston Spa Bancorp, Inc. (OTCPK:BSPA)",USA,Bank,New York
100139,Baltimore Bancorp (NYSE:BBB),USA,Bank,Maryland
1016623,BANA Holding Corporation,USA,Bank,North Carolina
4074352,"Banc of California, Inc. (NYSE:BANC)",USA,Bank,California
4053613,"Banc of California, Inc. (NYSE:BANC)",USA,Bank,California
100058,Banc One Illinois Corp,USA,Bank,Illinois
100344,Banc One Kentucky Corporation,USA,Bank,Kentucky
100335,Banc One West Virginia Corporation,USA,Bank,West Virginia
1020657,Banc Services Corp. (OTCPK:BSVC),USA,Bank,California
1021822,"BancAlabama, Inc.",USA,Bank,Alabama
4684819,Bancaribe International Bank Inc.,USA,Bank,Puerto Rico
100534,BancFirst Corporation (NASDAQGS:BANF),USA,Bank,Oklahoma
100542,BancFirst Ohio Corp. (NASDAQGM:BFOH),USA,Bank,Ohio
4252136,Banco Santander International,USA,Bank,Florida
1014050,Banco Santander Puerto Rico,USA,Bank,Puerto Rico
100509,BancOklahoma Corp.,USA,Bank,Oklahoma
4562887,"Bancolombia Puerto Rico Internacional, Inc.",USA,Bank,Puerto Rico
1024470,"Bancorp Connecticut, Inc. (NASDAQGM:BKCT)",USA,Bank,Connecticut
4154916,"Bancorp of New Jersey, Inc.",USA,Bank,New Jersey
4054977,"Bancorp Rhode Island, Inc. (NASDAQGS:BARI)",USA,Bank,Rhode Island
1018538,Bancorp. of Southern Indiana (OTCPK:BCSO),USA,Bank,Indiana
100163,"BancorpSouth, Inc.",USA,Bank,Mississippi
1018456,BancPlus Corporation,USA,Bank,Mississippi
100351,"BancTrust Financial Group, Inc.",USA,Bank,Alabama
4143306,Bank 1440,USA,Bank,Louisiana
101135,Bank Corporation of Georgia (NASDAQGM:BCGA),USA,Bank,Georgia
1021435,Bank First Corporation (NASDAQCM:BFC),USA,Bank,Wisconsin
100147,Bank Maryland Corp. (NASDAQGM:BKMD),USA,Bank,Maryland
1030053,Bank Northwest,USA,Bank,Idaho
1009573,Bank of Akron (OTCPK:BARK),USA,Bank,Ohio
100636,Bank of Alexandria,USA,Bank,Virginia
100638,Bank of Amador,USA,Bank,California
100369,Bank of America Corporation (NYSE:BAC),USA,Bank,North Carolina
1024575,"Bank of Arizona, National Association",USA,Bank,Arizona
1974021,Bank of Asheville,USA,Bank,North Carolina
1005809,Bank of Astoria,USA,Bank,New York
1013355,Bank of Botetourt (OTCPK:BORT),USA,Bank,Virginia
100086,"Bank of California, NA",USA,Bank,California
1015070,Bank of Canton,USA,Bank,Ohio
4099711,Bank of Commerce,USA,Bank,Idaho
100928,"Bank of Commerce (San Diego, CA) (NASDAQGM:BCOM)",USA,Bank,California
1009870,Bank of Commerce & Trust Company,USA,Bank,Louisiana
1016745,Bank of Commerce Holdings (NASDAQGM:BOCH),USA,Bank,California
1012750,Bank of Coronado (NASDAQGM:BCDO),USA,Bank,California
100025,Bank of Delaware Corporation,USA,Bank,Delaware
4057283,Bank of Evansville,USA,Bank,Indiana
4073783,Bank of Florida - Southeast,USA,Bank,Florida
4050934,Bank of Florida - Southwest,USA,Bank,Florida
4047172,Bank of Florida Corporation,USA,Bank,Florida
100304,Bank of Granite Corporation,USA,Bank,North Carolina
1012742,Bank of Guam,USA,Bank,Guam
100161,Bank of Hawaii Corporation (NYSE:BOH),USA,Bank,Hawaii
1013473,Bank of Hollywood (NASDAQGM:BHOW),USA,Bank,California
1014063,Bank of Honolulu,USA,Bank,Hawaii
1974183,Bank of Idaho Holding Company,USA,Bank,Idaho
1024571,Bank of Kentucky Financial Corporation,USA,Bank,Kentucky
1022836,"Bank of Labor Bancshares, Inc. (OTCPK:BHDB)",USA,Bank,Kansas
100146,Bank of Los Angeles (NASDAQGM:BKLA),USA,Bank,California
100643,Bank of Marin,USA,Bank,California
4164467,Bank of Marin Bancorp (NASDAQGS:BMRC),USA,Bank,California
100645,Bank of Mecklenburg,USA,Bank,North Carolina
4102412,"Bank of Napa, N.A. (NASDAQGM:BNNP)",USA,Bank,California
1027193,Bank of New England Corp. (OTCPK:BKNE),USA,Bank,Massachusetts
100157,Bank of New Hampshire Corporation,USA,Bank,New Hampshire
100646,Bank of Newport,USA,Bank,Rhode Island
1023488,Bank of North Carolina,USA,Bank,North Carolina
3005171,Bank of North Dakota,USA,Bank,North Dakota
1006505,"Bank of Northumberland, Inc",USA,Bank,Michigan
4051614,Bank of Oak Ridge,USA,Bank,North Carolina
1013099,Bank of Orange County,USA,Bank,California
100647,Bank of Petaluma,USA,Bank,California
4048553,"Bank of Richmond, N.A.",USA,Bank,Virginia
1023204,Bank of Salem,USA,Bank,Arkansas
4100556,Bank of San Francisco (OTCQX:BSFO),USA,Bank,California
100164,Bank of San Pedro,USA,Bank,California
1006938,Bank of Santa Clara,USA,Bank,California
4098822,Bank of Santa Clarita,USA,Bank,California
100149,Bank of South Carolina Corporation (OTCQX:BKSC),USA,Bank,South Carolina
100843,Bank of South Windsor (NYSEAM:BSW),USA,Bank,Connecticut
100836,Bank of Southern California,USA,Bank,California
100016,Bank of Southington (NYSEAM:BSO),USA,Bank,Connecticut
1026272,"Bank of Tanglewood, NA",USA,Bank,North Carolina
100940,Bank of Tazewell County,USA,Bank,Virginia
1984004,Bank of the Carolinas,USA,Bank,North Carolina
4142877,Bank of the Carolinas Corporation,USA,Bank,North Carolina
4051055,Bank of the James,USA,Bank,Virginia
4090994,"Bank of the James Financial Group, Inc. (NASDAQCM:BOTJ)",USA,Bank,Virginia
1026264,Bank of the Northwest (NASDAQGM:BKNW),USA,Bank,Idaho
1018441,"Bank of the Ozarks, Inc.",USA,Bank,Missouri
1012100,Bank of the Sierra,USA,Bank,California
4064841,Bank of the South,USA,Bank,Alabama
1014587,Bank of Tidewater,USA,Bank,Virginia
100780,Bank of Union,USA,Bank,North Carolina
1007224,Bank of Utica (OTCPK:BKUT),USA,Bank,New York
1020849,Bank of Ventura (NASDAQGM:BVNT),USA,Bank,California
4091190,Bank of Virginia,USA,Bank,Virginia
1011307,Bank of Weirton,USA,Bank,West Virginia
4050732,"Bank On It, Inc.",USA,Bank,Florida
100393,Bank One Corporation (NYSE:ONE),USA,Bank,Ohio
1005468,Bank OZK (NASDAQGS:OZK),USA,Bank,Arkansas
4120069,Bank Reale (OTCPK:BKRL),USA,Bank,Georgia
1024974,Bank Rhode Island,USA,Bank,Rhode Island
100150,Bank South Corporation (NASDAQGM:BKSO),USA,Bank,Georgia
4092288,Bank7 Corp. (NASDAQGS:BSVN),USA,Bank,Oklahoma
100138,BankAmerica Corp. (NYSE:BAC),USA,Bank,California
100145,BankBoston Corporation (NYSE:BKB),USA,Bank,Massachusetts
4044758,BankFinancial Corporation,USA,Bank,Illinois
1021889,BankFirst Capital Corporation (OTCQX:BFCC),USA,Bank,Mississippi
1022648,BankFirst Corporation (NASDAQGM:BKFR),USA,Bank,Mississippi
4146055,BankFlorida,USA,Bank,Florida
28304393,"BankFLORIDA Bancorp, Inc. (OTCQX:BKFL)",USA,Bank,Florida
4104534,BankGreenville Financial Corporation,USA,Bank,South Carolina
4288850,BankGuam Holding Company (OTCPK:BKGM),USA,Bank,Guam
4053281,BankIllinois Financial Corporation (NASDAQGM:BIFC),USA,Bank,Illinois
100148,"Banknorth Group, Inc. (NASDAQGM:BKNG)",USA,Bank,Maine
1032839,"Bankshares of Fayetteville, Inc.",USA,Bank,North Carolina
4235397,"BankUnited, Inc. (NYSE:BKU)",USA,Bank,Florida
4073432,Bankwell Bank,USA,Bank,Connecticut
4143686,"Bankwell Financial Group, Inc. (NASDAQGM:BWFG)",USA,Bank,Connecticut
1024098,Banner Corporation (NASDAQGS:BANR),USA,Bank,Washington
4005121,"BanPonce Corporation, Prior to Merger with Banco Popular de Puerto Rico",USA,Bank,Puerto Rico
100824,Bar Harbor Bankshares (NYSEAM:BHB),USA,Bank,Maine
100087,"Barclays Bank of New York, N.A.",USA,Bank,New York
100141,"Barnett Banks, Inc. (NYSE:BBI)",USA,Bank,Florida
100924,Bath National Corporation,USA,Bank,New York
100744,Bay Area Bancshares (NASDAQGM:BYAR),USA,Bank,California
1018916,"Bay Bancshares, Inc.",USA,Bank,Texas
1137107,"Bay Banks of Virginia, Inc.",USA,Bank,Virginia
100779,Bay Commercial Services (NASDAQGM:BCSV),USA,Bank,California
1025141,Bay Community Bancorp,USA,Bank,California
4050770,Bay National Corporation,USA,Bank,Maryland
1015811,Bay Port State Bank,USA,Bank,Wisconsin
100142,"BayBanks, Inc. (NASDAQGM:BBNK)",USA,Bank,Massachusetts
4866284,BayCom Corp (NASDAQGS:BCML),USA,Bank,California
4057736,BayFirst Financial Corp. (NASDAQCM:BAFN),USA,Bank,Florida
100909,Baylake Corp. (NASDAQGM:BYLK),USA,Bank,Wisconsin
100143,BB&T Financial Corporation (NASDAQGM:BBTF),USA,Bank,North Carolina
1009252,BBVA Bancomer USA,USA,Bank,Texas
1018767,"BBVA USA Bancshares, Inc.",USA,Bank,Alabama
100186,"BBVA USA Bancshares, Inc.",USA,Bank,Alabama
1027759,"BBVA USA Bancshares, Inc.",USA,Bank,Alabama
4087496,"BCB Bancorp, Inc. (NASDAQGM:BCBP)",USA,Bank,New Jersey
4064754,BCB Community Bank,USA,Bank,New Jersey
100757,BCB Financial Services Corporation,USA,Bank,Pennsylvania
4004404,"BCSB Bancorp, Inc.",USA,Bank,Ohio
4057585,Beach Bank,USA,Bank,Florida
100374652,Beach Cities Commercial Bank (OTCQB:BCCB),USA,Bank,California
4096800,"Beach Community Bancshares, Inc.",USA,Bank,Florida
1027730,"Beach First National Bancshares, Inc. (OTCPK:BFNB.Q)",USA,Bank,South Carolina
139626398,Beacon Financial Corporation (NYSE:BBT),USA,Bank,Virginia
114217344,"Beacon Holding Company, Inc. (OTCQB:BCON)",USA,Bank,Indiana
102666,"Bear State Financial, Inc.",USA,Bank,Arkansas
100789,Belmont Bancorp (NASDAQGM:BLMT),USA,Bank,Ohio
4055652,"Benchmark Bancorp, Inc.",USA,Bank,Indiana
1020561,"Benchmark Bankshares, Inc. (OTCPK:BMBN)",USA,Bank,Virginia
100782,Benson Financial Corp. (NASDAQGM:BFCX),USA,Bank,Wisconsin
1019759,Benton Financial Corporation,USA,Bank,Michigan
1974092,BEO Bancorp (OTCPK:BEOB),USA,Bank,Oregon
100934,Bergen Commercial Bank,USA,Bank,New Jersey
4040676,Berkshire Bancorp Inc.,USA,Bank,Massachusetts
4054645,"Berkshire Hills Bancorp, Inc. (NYSE:BHLB)",USA,Bank,Massachusetts
107259,"Beverly Bancorporation, Inc. (NASDAQGM:BEVB)",USA,Bank,Illinois
108453,Beverly Hills Bancorp Inc. (OTCEM:BHBC.Q),USA,Bank,California
100910,Beverly National Corporation,USA,Bank,Massachusetts
1020238,Big Lake Financial Corporation,USA,Bank,Minnesota
4105080,"Birmingham Bloomfield Bancshares, Inc. (OTCPK:BBBI)",USA,Bank,Alabama
100811,"Blackhawk Bancorp, Inc.",USA,Bank,Illinois
100667,Blue Ridge Bank,USA,Bank,Virginia
1014572,"Blue Ridge Bank, NA",USA,Bank,Virginia
1022636,"Blue Ridge Bankshares, Inc. (NYSEAM:BRBS)",USA,Bank,Virginia
1022830,Blue Valley Ban Corp. (OTCPK:BVBC),USA,Bank,Kansas
4157568,blueharbor bank (OTCQX:BLHK),USA,Bank,North Carolina
100093,"BMO Bankcorp, Inc.",USA,Bank,Illinois
100153,"BMR Financial Group, Inc. (NASDAQGM:BMRG)",USA,Bank,New Hampshire
1974126,"BNB Bancorp, Inc.",USA,Bank,New Jersey
4086131,BNC Bancorp,USA,Bank,North Carolina
100873,"BNCCORP, Inc. (OTCQX:BNCC)",USA,Bank,North Dakota
100156,"BNH Bancshares, Inc. (NASDAQGM:BNHB)",USA,Bank,Connecticut
4087445,BNW Bancorp Inc. (NASDAQGM:BBCP),USA,Bank,Indiana
4127982,"Boardwalk Bancorp, Inc.",USA,Bank,New Jersey
4053240,Boardwalk Bank,USA,Bank,New Jersey
100159,"Boatmen's Bancshares, Inc. (NASDAQGM:BOAT)",USA,Bank,Missouri
100432,"Boatmen's Sunwest, Inc. (NASDAQGM:SFSI)",USA,Bank,New Mexico
4002109,BOC Financial Corp. (NASDAQGM:BOCF),USA,Bank,New Jersey
4054976,"BOE Financial Services of Virginia, Inc.",USA,Bank,Virginia
100003,BOK Financial Corporation (NASDAQGS:BOKF),USA,Bank,Oklahoma
101142,"BOL Bancshares, Inc. (OTCEM:BOLB)",USA,Bank,Louisiana
1024832,"Bonvenu Bancorp, Inc. (OTCQX:BBNA)",USA,Bank,Louisiana
1020459,"Border Bancshares, Inc.",USA,Bank,Texas
1023018,"Border Bancshares, Inc.",USA,Bank,Texas
100778,Borel Private Bank & Trust Company,USA,Bank,California
1015820,"Borrego Springs Bank, National Association",USA,Bank,California
4214951,"BOSP Bancshares, Inc",USA,Bank,South Carolina
100758,"Boston Private Financial Holdings, Inc. (NASDAQGM:BPFH)",USA,Bank,Massachusetts
1974209,"Botetourt Bankshares, Inc. (VA) (OTCPK:BORT)",USA,Bank,Virginia
100151,Boulevard Bancorporation (NASDAQGM:BLVD),USA,Bank,Illinois
1019145,"Boyle Bancorp, Inc. (OTCPK:BYLB)",USA,Bank,Kentucky
100188,Branch Banking & Trust Company of VA,USA,Bank,Virginia
1018437,"Bremen Bancorp, Inc.",USA,Bank,Illinois
1016544,Bremer Financial Corporation,USA,Bank,Minnesota
100166,"Brenton Banks, Inc.",USA,Bank,Iowa
100670,"Bridge Bancorp, Inc. (NASDAQGS:BDGE)",USA,Bank,New York
4056639,"Bridge Bank, National Association",USA,Bank,California
4095493,Bridge Capital Holdings,USA,Bank,California
4045230,Bridge Street Financial Inc. (NASDAQGM:OCNB),USA,Bank,New York
109041,Bridge View Bancorp (NYSEAM:BVB),USA,Bank,New Jersey
4120218,"Bridgewater Bancshares, Inc. (NASDAQCM:BWB)",USA,Bank,Minnesota
1018179,Britton & Koontz Capital Corporation,USA,Bank,Mississippi
100155,Broad National Bancorporation (NASDAQGM:BNBC),USA,Bank,New Jersey
100105,Broadway Financial Corporation,USA,Bank,California
4001623,"Brookline Bancorp, Inc. (NASDAQGM:BRKL)",USA,Bank,Massachusetts
100777,Brunswick Bancorp,USA,Bank,Georgia
1023009,"Bryan Bancorp of Georgia, Inc.",USA,Bank,Georgia
100154,Bryn Mawr Bank Corporation (NASDAQGM:BMTC),USA,Bank,Pennsylvania
100820,BSB Bancorp Inc. (NASDAQGM:BSBN),USA,Bank,Massachusetts
100167,"BSD Bancorp, Inc.",USA,Bank,California
1032010,BSM Bancorp (NASDAQGM:MDST),USA,Bank,Illinois
1014744,"Buckeye State Bancshares, Inc.",USA,Bank,Ohio
108174,"Buckhead Community Bancorp, Inc.",USA,Bank,Georgia
4096275,Bucks County Bank (OTCPK:BKCS),USA,Bank,Pennsylvania
1015471,Burke & Herbert Financial Services Corp. (NASDAQCM:BHRB),USA,Bank,Virginia
100604,Burlingame Bancorp (NASDAQGM:BRGM),USA,Bank,California
1020857,Burlington County Bank,USA,Bank,Vermont
100821,Business & Professional Bank,USA,Bank,California
100140,Business Bancorp,USA,Bank,California
4053949,Business Bancorp (NASDAQGM:BZBC),USA,Bank,California
4048667,Business Bank Corporation,USA,Bank,Michigan
1004395,Business Bank of California,USA,Bank,California
4149828,"Business First Bancshares, Inc. (NASDAQGS:BFST)",USA,Bank,Louisiana
1023057,Butte Community Bank,USA,Bank,California
100672,BWC Financial Corp.,USA,Bank,California
1137000,BYL Bancorp (NASDAQGM:BOYL),USA,Bank,California
1021230,"Byline Bancorp, Inc. (NYSE:BY)",USA,Bank,Illinois
100776,C&F Financial Corporation (NASDAQGS:CFFI),USA,Bank,Virginia
100035,C&S/Sovran Corporation,USA,Bank,Maryland
4414591,"C1 Financial, Inc.",USA,Bank,Florida
8704573,CAB Financial Corporation (OTCPK:CABF),USA,Bank,Georgia
4622600,Cadence Bancorporation,USA,Bank,Texas
1011415,Cadence Bank (NYSE:CADE),USA,Bank,Alabama
1018635,Cadence Financial Corporation,USA,Bank,Mississippi
100214,Cal Rep Bancorporation Inc (NASDAQGM:CRBI),USA,Bank,California
1023423,Caledonia Financial Corporation (OTCPK:CDFQ),USA,Bank,Wisconsin
1022179,"Calhoun Bankshares, Inc.",USA,Bank,Georgia
6542931,California BanCorp,USA,Bank,California
4055941,California BanCorp (NASDAQCM:BCAL),USA,Bank,California
100170,"California Bancshares, Inc. (NASDAQGM:CABI)",USA,Bank,California
4142034,California Bank of Commerce,USA,Bank,California
4114106,California Business Bank (OTCEM:CABB),USA,Bank,California
100673,California Commercial Bankshares,USA,Bank,California
4055094,"California Community Bancshares, Inc.",USA,Bank,California
100698,"California Community Bancshares, Inc. (NASDAQGM:CCBC)",USA,Bank,California
4086851,California Community Bank,USA,Bank,California
105366,California First Leasing Corporation (OTCPK:CFNB),USA,Bank,California
100719,California Independent Bancorp (NASDAQGM:CIBN),USA,Bank,California
4094107,"California International Bank, N.A. (OTCPK:CAIB)",USA,Bank,California
1981035,California Oaks State Bank,USA,Bank,California
4307027,California Republic Bancorp,USA,Bank,California
4157391,California Republic Bank,USA,Bank,California
4101111,California United Bank,USA,Bank,California
4056380,"Calnet Business Bank, National Association (NASDAQGM:CLNB)",USA,Bank,California
4146122,CalPrivate Bank,USA,Bank,California
1024956,"Calvin B. Taylor Bankshares, Inc. (OTCQX:TYCB)",USA,Bank,Delaware
4088573,CalWest Bancorp (OTCPK:CALW),USA,Bank,California
4053258,Calwest Bank,USA,Bank,California
1019036,Cambridge Bancorp,USA,Bank,Massachusetts
102511,Camco Financial Corporation (NASDAQGM:CAFI),USA,Bank,Ohio
101149,Camden National Corporation (NASDAQGS:CAC),USA,Bank,Maine
1022449,"Canaan National Bancorp, Inc. (OTCPK:CNAQ)",USA,Bank,Pennsylvania
1019956,Canandaigua National Corporation (OTCEM:CNND),USA,Bank,New York
1005410,Candlewood Bank & Trust Company,USA,Bank,Connecticut
4087050,Canton Bancorp Inc. (NASDAQGM:CBPA),USA,Bank,Ohio
4140649,Canyon Bancorp,USA,Bank,California
4018066,Canyon National Bank,USA,Bank,California
1021977,"Capac Bancorp, Inc.",USA,Bank,Michigan
